연번,요일구분,호선,역번호,출발역,상하구분,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-00시,00시-01시
1242,일요일,3,316,독립문,상선,5.3,5.2,9.1,17.25,19.45,16.25,16.55,19.95,24.5,27.8,34.1,37.5,40.85,39.35,31.1,35.85,29.2,22.4,6.25,
1243,일요일,3,317,경복궁,상선,5.6,5.25,9.4,19.3,23.05,18.5,17.4,21.3,25.5,28.85,34.6,38.4,41.4,40.25,31.85,36.7,29.85,23.15,8.2,
1244,일요일,3,318,안국,상선,5.9,6.15,11.8,25.85,32.8,28.75,28.2,33,36,36.2,39.3,41.2,43,38.85,32.05,36.5,30,23.2,4.75,
1245,일요일,3,319,종로3가,상선,6.45,7.35,14.5,30.75,40.15,37.7,37.25,42.2,45.05,43.5,44.35,43.25,43.5,39,32,34.95,29.2,23.65,5,
1246,일요일,3,320,을지로3가,상선,4.85,5.45,11,22.05,29.3,29.7,29.7,33.25,35.4,32.7,33.9,34.1,35.2,29.9,26.2,27.85,22.75,18.3,4.1,
1247,일요일,3,321,충무로,상선,4.05,4.9,9.75,19.35,26.25,28.2,28.65,30.9,33.9,30.15,31.1,32.05,33,28.2,24.45,24.85,20.35,15.75,3.85,
1248,일요일,3,322,동대입구,상선,4.75,5.45,8.85,16.65,22.05,24.95,28.1,31.6,33.5,28.7,31.5,33.05,37.3,30.5,27.45,28.75,22.9,16.7,4,
1249,일요일,3,323,약수,상선,4.7,5.7,9.45,17.6,23.4,26.55,28.65,32.15,33.75,28.25,30,31.15,34.4,28.55,25.3,28.75,22.35,16.25,4.1,
1250,일요일,3,324,금호,상선,5.55,5.7,9.7,17.95,23.95,28.1,30.6,35.15,36.8,31.15,34.15,35.55,39.85,31.5,29.25,32.55,26.85,18.5,4.45,
1251,일요일,3,325,옥수,상선,5.15,5.75,9.55,18.1,22.85,28.05,29.45,34.7,36.05,31.9,33.95,36.4,40.4,31.3,30,33.8,26.65,19.05,4.65,
1252,일요일,3,326,압구정,상선,5.2,5.9,9.8,18.7,23.1,28.45,30.45,36.2,38.2,34.3,37,39.6,44.2,34.9,33.25,38.35,29.7,19.95,5.1,
1253,일요일,3,327,신사,상선,5.05,6.7,11.7,21.55,26.25,32.2,32,36.7,38.1,33.15,35.5,37.2,41.55,31.25,30.75,31.95,26.9,18.75,3.5,
1254,일요일,3,328,잠원,상선,4.45,6.05,10,18.7,23.2,28.65,28.3,32.7,32.95,29.2,30.4,33.15,36.45,26.25,26.65,26.65,20.35,14.5,2,
1255,일요일,3,329,고속터미널,상선,4.65,6,9.95,18.5,23.25,28.3,28.1,32.55,32.8,29.25,30.5,33.35,37,26.5,26.6,27.05,20.55,14.85,2.2,
1256,일요일,3,330,교대,상선,5.25,6.7,10.7,17.85,22.1,28.05,28.2,33.75,34.45,30.25,32.6,35.1,37.5,26,23.85,21.5,19.45,12.8,2,
1257,일요일,3,331,남부터미널,상선,4.1,6.05,10.1,16.75,20.9,25.9,24.8,30.1,29.35,25.75,28.75,30.4,31.05,20.7,19,18.45,16.4,10.25,1.4,
1258,일요일,3,332,양재,상선,3.9,5.6,9.65,15.1,18.4,21.75,20.7,26,25.85,20.6,23.4,23.75,23.2,14.6,13.1,14.5,11.75,8.45,1.5,
1259,일요일,3,333,매봉,상선,3.9,5.9,8.8,13.8,18,19.2,17.4,22.4,20.85,16.85,18.15,18.9,17.35,10.35,8.65,10.2,9.9,7.05,1.4,
1260,일요일,3,334,도곡,상선,3.8,5.75,8.45,13.3,17.5,18.9,16.95,21.6,19.9,15.95,17,17.7,16.45,9.85,8.5,9.05,9.5,7.05,1.55,
