사용월,호선명,지하철역,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원
202503,과천선,정부과천청사,2250,1454,9170,13621,24875,40864,21421,99393,16575,27449,13230,13346,14167,10935,15680,13190,15989,14170,16447,13600,19040,14109,28236,15961,45312,21132,66380,27022,20538,22764,15734,12876,14510,11806,8289,9482,2296,5800,229,1239
202503,과천선,평촌,4891,2362,23364,9843,66144,33825,52183,85657,29257,28704,23084,15830,21873,14176,22521,15797,20374,19822,20360,17380,23672,18862,27706,25069,47293,34421,59166,50218,23340,45810,18443,25193,17390,21648,11696,19233,4204,10354,486,3921
202503,분당선,가천대,4418,895,7020,3534,19009,7236,24202,55138,17298,39890,14077,32822,17761,22464,22521,25686,22917,19508,29824,17857,30988,13620,41832,14490,44570,19233,28572,24248,14501,19408,10597,15452,10455,16651,9061,16467,4785,11892,173,1311
202503,분당선,강남구청,1415,857,2815,5986,7779,19020,11509,55047,9985,41761,8927,20383,10215,15411,11502,15145,12855,17110,14290,15225,16900,15441,19659,15696,31566,17430,47909,22186,25554,13963,15300,8119,13178,6593,8782,6216,2753,3434,105,748
202503,분당선,개포동,1161,441,4224,3624,13334,6865,14513,8903,10026,7175,8318,6194,7031,4623,8563,5526,7678,6638,7058,6345,7951,7696,9553,9069,9128,11727,8736,14899,5268,11905,4262,7811,3673,7338,3347,6583,1173,3912,31,109
202503,분당선,구룡,1036,497,3277,4024,9386,11484,12454,8005,9922,4264,7543,3467,6509,3044,6419,4131,6002,4590,5619,4997,8175,6205,9439,6927,7488,9178,6519,11142,3786,8874,2629,5524,2953,5050,1367,4833,445,3107,44,109
202503,분당선,구성,2745,581,10214,4228,26039,9396,28406,12016,17229,7872,13956,6302,11702,6558,10867,7901,9214,8306,8674,9084,8955,12364,11039,14582,14145,22034,13269,27894,7579,20879,6701,14872,4785,11442,4041,12911,1836,6810,129,747
202503,분당선,기흥,5694,776,16323,4609,39993,15735,37810,31603,20940,13727,15621,12354,15667,12795,15452,9985,15630,13398,16131,12553,15986,14453,19675,17691,25581,25068,25351,37393,13582,29566,10339,19037,8834,14470,6844,15878,2473,9298,48,1060
202503,분당선,대모산입구,2670,613,7417,3031,25310,6826,25232,11032,15767,6034,11012,4710,9273,5331,9702,6126,9183,7335,7333,7382,7618,10153,9728,11710,11316,15019,10796,19225,5439,16617,3874,10465,2990,10349,1955,10229,651,5452,22,336
202503,분당선,도곡,1542,1074,4636,7177,12534,17002,17262,23493,13685,19859,11817,9767,11605,9424,12290,9599,12692,10363,12665,11061,15890,12474,16894,13248,21407,15255,22879,18065,12076,14465,8785,9929,7155,8834,5753,7764,1321,4329,56,333
202503,분당선,망포,6197,2948,21600,9346,58673,28860,52935,44280,27671,17667,19458,10130,17717,11723,18330,13067,17966,14099,15464,14171,17780,19737,22666,26388,36700,35404,43073,52133,22861,45463,18353,29007,14391,23466,11297,21005,4141,13223,116,999
202503,분당선,매교,4771,876,10579,3253,23054,7047,23278,13386,11016,5600,7408,4795,7005,5446,7500,6186,6397,5922,5914,7036,9373,7263,11604,10868,9041,15495,8440,21432,4965,14635,3781,10122,3524,8477,2389,7572,580,4025,15,642
202503,분당선,매탄권선,4048,815,10943,3008,24626,5551,22092,14743,12154,5820,8783,3960,8004,4139,8519,4823,6785,5688,6122,5317,6858,7989,10929,11006,10774,14987,9334,23200,5248,15968,3859,10803,3665,9248,2750,9614,759,5482,11,580
202503,분당선,모란,15356,2707,21787,11118,54309,22868,68507,36920,48962,29775,35666,29831,34227,36227,38533,35710,38842,37311,37079,38350,38567,44181,41896,47164,42948,51699,40826,65761,22975,48410,17895,35155,15928,32524,12357,26357,6656,15823,366,1807
202503,분당선,미금,3440,819,12681,11412,28204,22511,32548,46881,24472,35065,24277,22945,26833,23024,26903,24285,26435,26235,27690,25826,33995,26842,33133,29665,37976,35314,39826,41808,22102,30578,18128,21386,18203,18955,13274,16452,4011,8947,184,2103
