사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202504,2호선,상왕십리,18,0,6508,835,15714,6913,46491,12981,72192,33490,40386,19352,25117,14729,21548,13864,22781,15465,21918,17984,19323,19321,20327,22884,23025,29199,26129,37934,28213,58975,20016,38595,13078,26684,11341,24813,7647,22863,3152,13566,493,4744,0,18,0,0,0,0,20250503
202504,2호선,서울대입구(관악구청),4688,53,28153,2676,47796,14907,138735,30351,188567,77696,126167,65539,72780,56723,62451,47494,69757,51665,69037,56247,63695,56942,69682,67557,74986,79194,86921,110144,96146,179805,58837,140816,50239,92317,52919,87247,44813,86063,23918,48902,4387,18813,1,3914,0,0,0,0,20250503
202504,2호선,서초,4,0,2029,4849,13934,25599,23062,58276,32008,125373,30242,92572,23072,45895,31236,35035,28814,26923,36544,28375,37429,27162,47195,22944,52330,25833,80364,27942,98187,29944,44916,20682,32910,13161,31140,12022,17860,11892,5977,6183,1054,1700,0,4,0,0,0,0,20250503
202504,2호선,선릉,154,3,4578,6301,12458,47546,25706,138431,39173,303607,38205,227423,42161,105235,52992,70794,64597,65577,74465,76226,83306,60331,108819,55428,139466,54898,224966,62107,306627,64439,154412,41188,101172,26525,91155,23601,72587,20352,26216,11663,4310,5328,0,156,0,0,0,0,20250503
202504,2호선,성수,74,8,5216,5019,9514,38406,23128,82680,30717,273979,25607,175692,24552,107367,29741,96860,41661,96827,55684,101721,69721,97221,88521,94885,117015,89585,179389,89810,287722,89431,157743,53192,121774,27098,100278,19777,64964,15568,23513,11324,3601,6049,2,867,0,0,0,0,20250503
202504,2호선,시청,14,1,1175,2262,2326,23583,5523,83677,9479,247017,14804,100249,21554,33917,27442,30261,26783,29088,34109,33529,40215,26634,49920,23558,63219,22016,117629,24191,185910,24810,67348,13966,51683,9435,45576,9021,26697,7577,9933,4234,1399,1434,1,90,0,0,0,0,20250503
202504,2호선,신답,15,1,1253,39,2391,938,6935,1147,11577,1903,4749,1152,2796,1070,2474,1208,2252,1455,2209,1572,1854,2067,1758,2908,2293,3827,2163,5210,2143,10319,1114,7071,746,3713,534,3927,385,3224,202,1931,79,563,0,0,0,0,0,0,20250503
202504,2호선,신당,41,4,5925,1147,12331,7591,34224,17057,56746,32306,31981,23191,21784,18741,21117,20597,23223,22037,23634,22930,23415,23511,24667,26594,27741,32152,30613,41488,34687,60991,24753,40061,19567,25708,18232,23172,15981,20925,8405,12289,1724,4340,1,50,0,0,0,0,20250503
202504,2호선,신대방,267,10,24892,1856,38194,9107,98452,16025,139277,26393,86525,19276,48392,18775,37827,20266,38677,22828,36677,27006,30803,32203,30257,41101,31957,49470,34039,65804,33152,98828,21476,82783,16384,58711,13507,60334,10378,56129,5356,32637,1063,10147,8,203,0,0,0,0,20250503
202504,2호선,신도림,4146,11,38481,5177,61396,21362,158484,48241,162283,114367,100935,80683,68419,63549,63622,66516,72615,66583,76570,72488,77028,71153,81371,80434,88786,94182,110163,125644,131043,188707,79988,129062,70115,79658,59429,74580,46784,71331,24131,48155,3310,22148,20,2953,0,0,0,0,20250503
202504,2호선,신림,156,8,37229,3797,73048,18919,198076,32009,286298,47052,174334,44851,96195,41422,78575,44620,84673,50634,78248,58659,70280,65056,68392,82805,73648,102957,77557,140801,79210,236014,54789,197442,46987,134075,43700,126226,37080,118602,21524,73872,5191,25319,6,779,0,0,0,0,20250503
202504,2호선,신설동,51,2,1130,318,1530,1880,5503,5559,10357,14736,6366,9700,5698,8190,6491,7458,8375,7390,8550,8196,8472,6540,8874,6014,9659,5540,12839,6264,12776,8435,4976,6030,3669,4471,2692,4317,1887,4050,802,2530,132,1031,2,142,0,0,0,0,20250503
202504,2호선,신정네거리,106,0,9024,827,19921,2371,54985,4767,48856,12581,26830,8857,18775,7692,16728,8830,17492,10222,14765,12267,12781,14535,11497,18089,12693,24265,12497,33565,11852,50548,7425,38196,5911,21660,4650,19814,3590,17462,1624,10835,372,3414,1,178,0,0,0,0,20250503
202504,2호선,신촌,76,6,6580,2646,15414,16571,40053,38966,57753,97385,43481,103488,43767,78003,50398,68487,61509,69829,66651,75605,69763,65596,78541,62156,93598,68865,110452,88559,108912,119461,75292,81058,77626,51754,81128,46192,76196,41722,36872,26290,6571,7885,1,122,0,0,0,0,20250503
202504,2호선,아현,19,2,4974,1040,12455,5284,33107,12843,46620,22847,26726,15371,19027,13021,17377,11101,18975,13157,17289,14575,15756,15515,18803,17594,21924,20344,21657,26713,21697,37264,13814,27212,10085,18941,7944,18233,5916,16457,2316,8943,437,3064,0,29,0,0,0,0,20250503
202504,2호선,양천구청,48,0,5277,879,13197,2902,36103,5854,32498,9469,18783,5334,13368,4755,11394,5615,11473,6882,9809,8867,8156,9687,8439,12298,9090,15428,9083,21884,9247,31965,4390,25683,3171,15279,2550,13879,2219,10943,834,8119,187,2729,2,23,0,0,0,0,20250503
202504,2호선,역삼,39,2,3659,6035,9704,49325,17744,171675,28881,398797,26814,318057,28031,124870,36474,68177,43719,60199,52786,66938,63323,51475,81879,45228,109394,43823,242486,53956,292013,60427,161801,39288,92163,24929,82916,21798,54818,17906,20449,10574,3572,3652,1,73,0,0,0,0,20250503
202504,2호선,영등포구청,66,2,5285,3520,14724,15702,44451,43249,55952,134502,34446,59111,25762,29846,26508,26046,29057,27451,30658,30176,30511,27514,35764,29220,41609,33268,63546,43295,107919,63327,41072,42568,30942,26124,27111,23825,20132,21322,9530,13974,1803,5218,6,205,9,10,0,0,20250503
